Country,Flag,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
United States,http://www.sciencekids.co.nz/images/pictures/flags96/United_States.jpg,7171,6847,6661.627397,6559.589041,6464.557377,6451.435616,6251.909589,5881.460274,5821.601095,5801.402738,5744.076712,5649.238356,5440.915301,5183.712329,5085.865786,5073.898375,4999.669254,5349.098649,5477.672452,5654.271227,6501.516473,7466.936953,8758.599863,9430.652087999999,8830.672139,9351.715156,10961.78913
Saudi Arabia,http://www.sciencekids.co.nz/images/pictures/flags96/Saudi_Arabia.jpg,8332,8198,8119.873973,8231.232877,8218.117486,8362.175342,8388.90411,7833.391781,8403.79918,8031.09589,7634.39589,8775,9100.819672,9550.136986,9152.328767,8721.506849,9261.25097,8250.112447,8900,9458.356164,9832.322404,9693.150684999999,9735.342466,10168.246579999999,10460.71038,10133.753420000001,10425.13699
Russia,http://www.sciencekids.co.nz/images/pictures/flags96/Russia.jpg,7632,6730,6135.084932,5995.221918,5849.874317,5920.084932,5853.882192,6078.983562,6479.202,6917,7408.173,8132.198795,8804.70765,9043.082192,9247.205479,9437.063449,9356.783607,9495.364932,9694.114466,9773.517808,9921.60929,10053.843840000001,10107.08767,10252.854790000001,10551.49727,10580.19178,10758.66027
Canada,http://www.sciencekids.co.nz/images/pictures/flags96/Canada.jpg,1605,1679,1746.194521,1805.271233,1836.674863,1922.394521,1981.084932,1906.635616,1976.893443,2029.172603,2170.6,2305.726027,2398.420765,2368.877597,2525.397101,2628.124781,2579.308861,2579.479849,2740.756164,2900.646575,3137.838798,3325.128767,3613.2246579999996,3677.1260270000002,3679.0464479999996,3976.665753,4263.947945
Iraq,http://www.sciencekids.co.nz/images/pictures/flags96/Iraq.jpg,425,512,552.5342466,560,578.5437158,1155.057534,2150.041096,2507.876712,2570.68306,2390,2023,1308.247288,2011.469945,1877.657534,1995.60274,2086.291622,2375.265989,2390.591537,2399.302526,2625.684932,2983.333333,3054.383562,3368.041096,4045.041096,4443.516393,4453.684932,4612.69589
Iran,http://www.sciencekids.co.nz/images/pictures/flags96/Iran.jpg,3429,3540,3618.054795,3643.219178,3685.710383,3664.178082,3633.767123,3557.164384,3696.3,3723.70137,3444.30137,3742.794973,4001.434426,4138.575342,4027.808219,3911.890411,4050.273224,4037.038348,4080.418951,4054,3386.8497270000003,3113.2986300000002,3239.0684929999998,3293.189041,4151.166667,4468.69589,4253.643836
China,http://www.sciencekids.co.nz/images/pictures/flags96/China.jpg,2845,2890,2939.287671,2990.049315,3131.338798,3200.342466,3198.178082,3194.994521,3248.762295,3300.004,3389.652055,3408.871233,3485.314208,3608.621918,3672.735068,3735.971233,3790.181967,3795.95863,4078.360274,4052.055616,4074.074317,4163.816712,4208.254795000001,4277.6931509999995,3983.4808740000003,3821.2301369999996,3772.8767119999998
UAE,http://www.sciencekids.co.nz/images/pictures/flags96/United_Arab_Emirates.jpg,2266,2159,2193.241096,2232.649315,2277.650273,2316.424658,2345.30137,2169.246575,2367.827869,2205,2081.994521,2348.136986,2478.262295,2535.424658,2635.69863,2602.589271,2820.765027,2560,2570,2849.178082,2993.606557,2938.0,3010.191781,3149.452055,3242.650273,3174.178082,3216.479452
Brazil,http://www.sciencekids.co.nz/images/pictures/flags96/Brazil.jpg,626,643,671.4246575,695.4246575,795.0027322,841.1972603,968.6273973,1131.772603,1269,1295.146,1455.191781,1496.11,1477.36885,1633.574364,1722.732614,1747.995608,1812.22803,1950.36403,2054.667995,2105.407984,2061.225495,2023.875466,2254.600307,2437.4449010000003,2515.459016,2621.7972600000003,2586.539726
Kuwait,http://www.sciencekids.co.nz/images/pictures/flags96/Kuwait.jpg,1058,1852,2025.139726,2057.410959,2061.693989,2007.268493,2085.342466,1897.717808,2078.5,1997.5,1894.160274,2136,2375.696721,2529.178082,2535.342466,2464.09589,2585.748577,2350,2300.410959,2530.136986,2634.9453550000003,2650.0,2642.054795,2783.671233,2904.8251370000003,2752.876712,2807.041096
